w1,w2,count,support
N16,N44,20,0.0163265306122449
N18,N43,20,0.0163265306122449
N19,N23,20,0.0163265306122449
N19,N27,20,0.0163265306122449
N19,N41,20,0.0163265306122449
N20,N23,20,0.0163265306122449
N20,N26,20,0.0163265306122449
N20,N36,20,0.0163265306122449
N20,N41,20,0.0163265306122449
N21,N30,20,0.0163265306122449
N21,N32,20,0.0163265306122449
N23,N34,20,0.0163265306122449
N23,N45,20,0.0163265306122449
N24,N35,20,0.0163265306122449
N26,N34,20,0.0163265306122449
N26,N35,20,0.0163265306122449
N26,N38,20,0.0163265306122449
N26,N42,20,0.0163265306122449
N27,N39,20,0.0163265306122449
N28,N40,20,0.0163265306122449
N30,N37,20,0.0163265306122449
N34,N35,20,0.0163265306122449
N34,N39,20,0.0163265306122449
N34,N41,20,0.0163265306122449
N35,N39,20,0.0163265306122449
N36,N37,20,0.0163265306122449
N37,N39,20,0.0163265306122449
N39,N44,20,0.0163265306122449
N01,N21,19,0.015510204081632653
N01,N37,19,0.015510204081632653
N02,N04,19,0.015510204081632653
N02,N39,19,0.015510204081632653
N03,N08,19,0.015510204081632653
N03,N23,19,0.015510204081632653
N03,N31,19,0.015510204081632653
N03,N36,19,0.015510204081632653
N03,N43,19,0.015510204081632653
N04,N08,19,0.015510204081632653
N04,N11,19,0.015510204081632653
N04,N12,19,0.015510204081632653
N04,N18,19,0.015510204081632653
N04,N23,19,0.015510204081632653
N04,N25,19,0.015510204081632653
N04,N34,19,0.015510204081632653
N05,N21,19,0.015510204081632653
N05,N42,19,0.015510204081632653
N06,N30,19,0.015510204081632653
N06,N31,19,0.015510204081632653
N06,N34,19,0.015510204081632653
N07,N11,19,0.015510204081632653
